run,TOA_imbalance_Wm2,SFC_flux_Wm2,t2m_RMSD_K,t2m_bias_K,CMPI
Tuning_test_06V_1hcpl_mospp_kpplow_entstpc3_1,0.655,0.759,2.671,-2.124,
Tuning_test_06T_1hcpl_mospp_kpplow,0.952,1.055,2.385,-1.791,
Tuning_test_06O5_1hcpl_mospp_kv002,0.968,1.070,2.511,-1.904,
Tuning_test_06O_1hcpl_mospp,0.978,1.082,2.389,-1.774,
Tuning_test_06O4_1hcpl_mospp_kv0012,1.007,1.108,2.387,-1.807,
Tuning_test_06U_1hcpl_mospp_kpplow_openwater_albedo0075,1.020,1.120,2.422,-1.845,
Tuning_test_06M_1hcpl,1.062,1.167,2.315,-1.658,
Tuning_test_06P_fesomP_entstpc3_1,1.091,1.183,2.076,-1.358,
Tuning_test_06H_fesomH_combo_g_rvice018,1.220,1.308,2.082,-1.394,
Tuning_test_06G_fesomG_stronger_meltpond.,1.274,1.370,1.990,-1.274,
Tuning_test_06L_extra_strong_meltpond,1.320,1.408,2.050,-1.332,
Tuning_test_06E_fesomE_rvice018_ggaussb_m06,1.335,1.423,1.969,-1.231,
Tuning_test_06D_HRlike,1.377,1.471,1.892,-1.146,
Tuning_test_06F_fesomF_F_lrdalb_true,1.378,1.469,1.962,-1.219,
Tuning_test_06N_mospp,1.382,1.473,2.011,-1.310,
Tuning_test_06C_fesomC_albpnd028_rfrac075_pndaspect13,1.391,1.483,1.884,-1.109,
Tuning_test_06Q_ralbsead0045,1.397,1.489,1.891,-1.154,
Tuning_test_06S_evp0,1.419,1.511,1.935,-1.191,
Tuning_test_06R_openwater_albedo0075,1.443,1.533,1.860,-1.127,
Tuning_test_06B_fesomB_albpnd028_rfrac075,1.447,1.540,1.847,-1.062,
Tuning_test_06A_fesomA_albpnd028,1.457,1.548,1.811,-1.004,0.748
Tuning_test_06_Baseline,1.531,1.623,1.717,-0.939,0.745
