year,tree_LAI,grass_LAI,sfc_albedo,snow_albedo,boreal_2mT_K
1350,0.4069,0.6494,0.3807,0.7235,263.588
1351,0.3670,0.5662,0.3706,0.7156,263.093
1352,0.3577,0.5921,0.3671,0.7161,263.420
1353,0.3547,0.5644,0.3809,0.7107,263.082
1354,0.3530,0.5809,0.3912,0.7141,262.458
1355,0.3535,0.5829,0.3837,0.7112,262.908
1356,0.3533,0.6183,0.3858,0.7260,263.376
1357,0.3453,0.6055,0.3917,0.7062,262.905
1358,0.3580,0.6936,0.3692,0.7132,263.011
1359,0.3528,0.6519,0.3837,0.7136,262.869
1360,0.3343,0.5998,0.3893,0.7138,262.394
1361,0.3211,0.5992,0.3863,0.7160,262.754
1362,0.3105,0.6059,0.3864,0.7122,262.826
1363,0.3148,0.6102,0.3836,0.7215,263.187
1364,0.3200,0.6697,0.3814,0.7108,263.835
1365,0.3208,0.7132,0.3513,0.7174,263.995
1366,0.3314,0.7825,0.3727,0.7158,262.748
1367,0.3383,0.7576,0.3786,0.7144,263.841
1368,0.3432,0.7803,0.3816,0.7226,263.735
1369,0.3487,0.7881,0.3875,0.7183,262.792
1370,0.3502,0.8099,0.3694,0.7182,263.996
1371,0.3611,0.8462,0.3683,0.7160,263.446
1372,0.3665,0.8502,0.3667,0.7185,264.744
1373,0.3668,0.8142,0.3743,0.7170,262.974
1374,0.3628,0.7763,0.3817,0.7154,263.543
1375,0.3725,0.8281,0.3593,0.7146,263.696
1376,0.3746,0.7969,0.3815,0.7131,263.837
1377,0.3761,0.8143,0.3758,0.7215,264.298
1378,0.3761,0.8100,0.3596,0.7187,264.694
1379,0.3704,0.8310,0.3601,0.7229,264.139
