series,box,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
AMIP (atmosphere only),Boreal 55-70N,-24.331,-21.837,-14.561,-5.692,1.794,8.515,12.139,9.84,3.576,-6.198,-17.911,-23.269
AMIP (atmosphere only),Siberia,-29.174,-25.341,-17.154,-7.968,0.532,8.39,13.4,10.226,2.45,-10.296,-24.293,-28.909
AMIP (atmosphere only),E. Siberia,-32.192,-28.412,-19.243,-9.126,-0.207,8.199,12.952,9.538,1.436,-12.732,-26.975,-32.373
CRUNCEP3 reference,Boreal 55-70N,-24.935,-21.994,-16.414,-7.037,1.923,9.391,13.109,10.82,4.833,-4.304,-15.766,-22.457
CRUNCEP3 reference,Siberia,-31.847,-27.277,-20.101,-9.312,0.895,9.864,14.283,11.548,4.587,-7.468,-21.8,-29.707
CRUNCEP3 reference,E. Siberia,-36.16,-31.582,-22.465,-10.632,0.331,9.962,14.317,11.183,3.781,-9.404,-25.578,-34.397
06 Baseline,Boreal 55-70N,-26.311,-24.485,-18.467,-9.136,-0.629,7.354,12.954,11.24,4.871,-5.299,-17.369,-23.693
06 Baseline,Siberia,-32.949,-30.372,-23.364,-12.662,-2.804,6.711,13.736,11.435,3.514,-9.052,-24.599,-30.982
06 Baseline,E. Siberia,-36.702,-32.916,-25.478,-14.115,-4.189,6.196,13.35,11.185,2.561,-11.641,-27.881,-34.69
080a (CRUNCEP veg init),Boreal 55-70N,-25.888,-24.642,-16.974,-8.362,-0.372,7.575,13.087,11.573,5.011,-4.923,-16.505,-23.153
080a (CRUNCEP veg init),Siberia,-31.192,-29.566,-20.905,-12.094,-3.207,6.425,13.671,11.383,3.631,-9.229,-22.13,-29.451
080a (CRUNCEP veg init),E. Siberia,-35.127,-32.885,-23.615,-13.928,-4.883,5.774,13.48,10.802,2.721,-11.962,-25.832,-32.918
08C = 06T + LPJ lever,Boreal 55-70N,-28.2,-25.754,-19.534,-10.037,-1.529,6.01,12.021,10.314,4.105,-6.184,-17.952,-25.688
08C = 06T + LPJ lever,Siberia,-34.705,-30.655,-23.589,-14.023,-4.293,4.848,12.858,10.065,2.914,-10.712,-24.746,-32.405
08C = 06T + LPJ lever,E. Siberia,-37.901,-33.574,-25.76,-15.525,-5.791,4.051,12.609,9.655,1.726,-13.174,-28.259,-35.961
08B = 06V,Boreal 55-70N,-29.181,-26.998,-19.181,-10.597,-2.027,5.511,11.3,9.784,3.672,-8.309,-20.33,-26.095
08B = 06V,Siberia,-35.499,-32.56,-22.515,-14.016,-4.448,4.409,12.022,9.926,2.33,-13.755,-28.209,-33.107
08B = 06V,E. Siberia,-38.598,-35.296,-24.704,-15.263,-5.703,3.951,11.742,9.474,1.261,-16.164,-31.104,-36.483
08F = 06V + LPJ levers,Boreal 55-70N,-28.449,-26.51,-19.292,-9.84,-1.644,5.989,11.286,9.82,3.423,-7.486,-19.341,-25.561
08F = 06V + LPJ levers,Siberia,-34.361,-32.596,-22.902,-13.537,-4.208,5.17,11.834,9.477,2.146,-11.897,-26.032,-32.476
08F = 06V + LPJ levers,E. Siberia,-37.544,-35.07,-25.272,-15.347,-5.382,5.002,11.744,9.072,1.284,-14.185,-29.255,-36.338
AMIP baseline (new build),Boreal 55-70N,-26.6,-22.509,-15.684,-6.41,1.165,7.708,11.265,9.419,3.629,-6.131,-17.33,-23.978
AMIP baseline (new build),Siberia,-32.519,-26.065,-18.529,-9.161,-0.53,7.762,11.788,9.672,3.242,-9.928,-22.945,-29.837
AMIP baseline (new build),E. Siberia,-35.62,-29.057,-19.796,-9.991,-1.208,7.895,11.564,9.281,2.159,-12.39,-26.364,-32.962
09A = baseline + newSeaIce,Boreal 55-70N,-27.294,-25.335,-18.741,-9.513,-1.244,6.751,12.076,10.772,4.322,-6.193,-18.048,-25.101
09A = baseline + newSeaIce,Siberia,-34.84,-31.115,-23.008,-13.191,-3.77,5.682,12.993,10.444,3.009,-10.715,-25.23,-32.54
09A = baseline + newSeaIce,E. Siberia,-38.15,-34.533,-25.124,-14.845,-5.287,5.03,12.964,10.045,2.05,-13.307,-28.568,-35.636
09B = 06T + newSeaIce,Boreal 55-70N,-27.517,-25.638,-18.181,-9.573,-1.152,6.326,11.919,10.402,4.011,-6.47,-19.073,-25.786
09B = 06T + newSeaIce,Siberia,-33.863,-31.537,-22.136,-12.871,-3.89,5.052,12.639,10.492,2.499,-11.275,-26.181,-32.643
09B = 06T + newSeaIce,E. Siberia,-37.896,-34.687,-24.537,-14.713,-5.239,4.423,12.71,10.167,1.392,-13.834,-29.438,-35.425
09C = 06V + newSeaIce,Boreal 55-70N,-28.129,-24.868,-19.059,-10.226,-1.71,6.132,11.452,9.938,3.941,-7.0,-19.047,-25.902
09C = 06V + newSeaIce,Siberia,-33.87,-30.15,-22.714,-13.76,-3.852,5.527,12.696,9.841,2.653,-11.586,-25.788,-32.303
09C = 06V + newSeaIce,E. Siberia,-37.89,-33.392,-25.261,-15.462,-5.311,5.045,12.744,9.6,1.541,-14.173,-29.089,-35.624
