label,year,netTOA
06 Baseline,1350,0.2115
06 Baseline,1351,0.2552
06 Baseline,1352,0.1143
06 Baseline,1353,1.3313
06 Baseline,1354,1.7245
06 Baseline,1355,1.4307
06 Baseline,1356,1.6217
06 Baseline,1357,1.4218
06 Baseline,1358,2.1368
06 Baseline,1359,1.5864
06 Baseline,1360,1.7905
06 Baseline,1361,1.8091
06 Baseline,1362,1.6531
06 Baseline,1363,1.7909
06 Baseline,1364,1.8869
06 Baseline,1365,1.5071
06 Baseline,1366,2.0720
06 Baseline,1367,2.1099
06 Baseline,1368,1.4357
06 Baseline,1369,1.4079
06 Baseline,1370,1.4216
06 Baseline,1371,1.5471
06 Baseline,1372,1.8295
06 Baseline,1373,1.9723
06 Baseline,1374,1.5925
06 Baseline,1375,2.0734
06 Baseline,1376,1.4655
06 Baseline,1377,1.3146
06 Baseline,1378,1.7612
06 Baseline,1379,1.6885
06T,1350,-0.4178
06T,1351,-0.2491
06T,1352,-0.0504
06T,1353,0.2788
06T,1354,0.4105
06T,1355,0.3507
06T,1356,0.8952
06T,1357,1.0569
06T,1358,1.1573
06T,1359,0.8542
06T,1360,0.9020
06T,1361,1.0235
06T,1362,1.6679
06T,1363,1.0216
06T,1364,0.8995
06T,1365,1.2815
06T,1366,1.4996
06T,1367,1.6742
06T,1368,1.3122
06T,1369,1.3321
06T,1370,1.2870
06T,1371,1.3966
06T,1372,1.0699
06T,1373,0.9667
06T,1374,0.9059
06T,1375,1.4927
06T,1376,1.3200
06T,1377,1.1087
06T,1378,1.0450
06T,1379,1.1081
06V,1350,-0.8969
06V,1351,-0.9054
06V,1352,-0.5834
06V,1353,-0.2712
06V,1354,-0.6974
06V,1355,0.5314
06V,1356,0.5659
06V,1357,0.7011
06V,1358,0.7358
06V,1359,0.9150
06V,1360,0.6023
06V,1361,0.9246
06V,1362,0.9463
06V,1363,1.0844
06V,1364,0.5695
06V,1365,0.8213
06V,1366,1.1666
06V,1367,1.2976
06V,1368,1.4623
06V,1369,0.6975
06V,1370,0.4431
06V,1371,1.0082
06V,1372,0.8908
06V,1373,1.1911
06V,1374,0.5637
06V,1375,0.9154
06V,1376,1.5462
