series,year,netTOA
"080a  baseline, old sea ice",1350,0.2771
"080a  baseline, old sea ice",1351,0.7023
"080a  baseline, old sea ice",1352,0.6129
"080a  baseline, old sea ice",1353,1.2062
"080a  baseline, old sea ice",1354,1.6837
"080a  baseline, old sea ice",1355,1.8078
"080a  baseline, old sea ice",1356,1.8372
"080a  baseline, old sea ice",1357,1.4847
"080a  baseline, old sea ice",1358,1.9437
"080a  baseline, old sea ice",1359,1.7973
"080a  baseline, old sea ice",1360,1.0074
"080a  baseline, old sea ice",1361,1.8349
"080a  baseline, old sea ice",1362,1.9925
"080a  baseline, old sea ice",1363,1.5056
"080a  baseline, old sea ice",1364,2.138
"080a  baseline, old sea ice",1365,1.8947
"080a  baseline, old sea ice",1366,2.0448
"080a  baseline, old sea ice",1367,1.6564
"080a  baseline, old sea ice",1368,1.5987
"080a  baseline, old sea ice",1369,1.8449
"080a  baseline, old sea ice",1370,1.8261
"080a  baseline, old sea ice",1371,1.5629
"080a  baseline, old sea ice",1372,1.9575
"080a  baseline, old sea ice",1373,1.3758
"080a  baseline, old sea ice",1374,1.3231
"080a  baseline, old sea ice",1375,1.687
"080a  baseline, old sea ice",1376,2.3259
"080a  baseline, old sea ice",1377,1.6752
"080a  baseline, old sea ice",1378,1.6947
"080a  baseline, old sea ice",1379,1.3995
"080a  baseline, old sea ice",1380,2.1826
"080a  baseline, old sea ice",1381,1.7047
"080a  baseline, old sea ice",1382,1.2186
"080a  baseline, old sea ice",1383,1.7389
"080a  baseline, old sea ice",1384,1.4355
"080a  baseline, old sea ice",1385,1.8412
"080a  baseline, old sea ice",1386,1.4531
"080a  baseline, old sea ice",1387,1.2127
"080a  baseline, old sea ice",1388,1.8642
"080a  baseline, old sea ice",1389,1.5772
"080a  baseline, old sea ice",1390,1.7358
"080a  baseline, old sea ice",1391,1.3628
"080a  baseline, old sea ice",1392,1.2511
"080a  baseline, old sea ice",1393,1.3105
"080a  baseline, old sea ice",1394,1.6635
"080a  baseline, old sea ice",1395,1.3868
"080a  baseline, old sea ice",1396,1.5697
"080a  baseline, old sea ice",1397,1.4715
"080a  baseline, old sea ice",1398,1.2141
"080a  baseline, old sea ice",1399,1.4527
09A  baseline + newSeaIce,1350,-0.7159
09A  baseline + newSeaIce,1351,-0.7188
09A  baseline + newSeaIce,1352,-0.3675
09A  baseline + newSeaIce,1353,0.611
09A  baseline + newSeaIce,1354,0.5928
09A  baseline + newSeaIce,1355,0.9052
09A  baseline + newSeaIce,1356,0.8603
09A  baseline + newSeaIce,1357,0.9795
09A  baseline + newSeaIce,1358,0.8993
09A  baseline + newSeaIce,1359,0.8282
09A  baseline + newSeaIce,1360,1.1911
09A  baseline + newSeaIce,1361,1.2359
09A  baseline + newSeaIce,1362,1.3007
09A  baseline + newSeaIce,1363,0.9679
09A  baseline + newSeaIce,1364,1.2806
09A  baseline + newSeaIce,1365,1.5022
09A  baseline + newSeaIce,1366,1.7755
09A  baseline + newSeaIce,1367,1.3748
09A  baseline + newSeaIce,1368,1.2919
09A  baseline + newSeaIce,1369,0.914
09A  baseline + newSeaIce,1370,0.8972
09A  baseline + newSeaIce,1371,1.7309
09A  baseline + newSeaIce,1372,1.6711
09A  baseline + newSeaIce,1373,1.2559
09A  baseline + newSeaIce,1374,1.3373
09A  baseline + newSeaIce,1375,1.325
09A  baseline + newSeaIce,1376,1.4381
09A  baseline + newSeaIce,1377,1.2466
09A  baseline + newSeaIce,1378,1.1551
09A  baseline + newSeaIce,1379,0.8069
09B  06T + newSeaIce,1350,-0.4027
09B  06T + newSeaIce,1351,-0.7953
09B  06T + newSeaIce,1352,-0.7582
09B  06T + newSeaIce,1353,0.096
09B  06T + newSeaIce,1354,-0.1895
09B  06T + newSeaIce,1355,0.7271
09B  06T + newSeaIce,1356,0.519
09B  06T + newSeaIce,1357,1.0465
09B  06T + newSeaIce,1358,0.7547
09B  06T + newSeaIce,1359,1.0002
09B  06T + newSeaIce,1360,1.2119
09B  06T + newSeaIce,1361,1.2375
09B  06T + newSeaIce,1362,1.575
09B  06T + newSeaIce,1363,1.4285
09B  06T + newSeaIce,1364,1.492
09B  06T + newSeaIce,1365,1.2807
09B  06T + newSeaIce,1366,1.5242
09B  06T + newSeaIce,1367,1.1645
09B  06T + newSeaIce,1368,1.2318
09B  06T + newSeaIce,1369,1.4239
09B  06T + newSeaIce,1370,0.9437
09B  06T + newSeaIce,1371,0.9318
09B  06T + newSeaIce,1372,0.9458
09B  06T + newSeaIce,1373,1.3422
09B  06T + newSeaIce,1374,1.065
09B  06T + newSeaIce,1375,1.1493
09B  06T + newSeaIce,1376,1.1665
09B  06T + newSeaIce,1377,1.1255
09B  06T + newSeaIce,1378,1.7357
09B  06T + newSeaIce,1379,1.3062
09C  06V + newSeaIce,1350,-1.0838
09C  06V + newSeaIce,1351,-1.2308
09C  06V + newSeaIce,1352,-1.1796
09C  06V + newSeaIce,1353,-0.854
09C  06V + newSeaIce,1354,-0.2801
