run,SO_sfc_bias,SO_sfc_rmse,SO_TOA_CRE_bias,dTropics,dSiberiaJJA,dSiberiaDJF,global_netTOA
LX1 rsnow,-0.517,5.146,3.858,0.754,1.288,0.54,1.081
G1 F4+D2b,0.593,5.006,4.873,0.096,0.521,0.07,0.448
N2 scf current,0.609,5.114,4.869,0.293,1.35,-2.783,0.754
K2 soilalb,0.633,4.932,4.906,0.265,0.913,-0.144,0.571
P6 swemin30,0.648,5.098,4.898,0.315,1.096,-0.85,0.687
O2 scf m3,0.654,5.185,4.913,0.347,1.455,-2.443,0.753
L1 moss2.9,0.657,4.908,4.931,0.047,0.784,-0.327,0.461
J2 lamsk25,0.697,5.178,4.946,0.05,1.246,-3.226,0.589
P4 scf fit x3,0.702,5.073,4.96,0.332,1.092,-0.132,0.533
G4 tundra225,0.708,5.0,4.956,0.124,0.952,-0.385,0.516
G3 rsmin2000,0.72,5.093,4.973,0.082,0.876,-0.798,0.451
G2 rsmin500,0.721,5.007,4.991,0.041,0.336,-0.325,0.402
P5 swemin15,0.739,5.121,4.985,0.354,1.149,-0.06,0.663
I2 scf only,0.772,5.08,5.006,0.004,0.094,-2.679,0.479
L2 moss1.7,0.772,5.069,5.014,0.083,0.638,-0.242,0.462
H2 G1+snowcr,0.777,4.979,5.018,0.083,0.662,-0.973,0.619
J1 lamsk15,0.79,5.116,5.017,0.024,1.313,-2.834,0.635
O1 scf m4,0.799,4.981,5.033,0.287,1.277,-2.633,0.77
I1 scf,0.818,5.154,5.048,0.015,1.25,-2.759,0.622
P3 scf fit,0.824,5.157,5.076,0.325,1.341,-0.584,0.5
K1 landalb,0.833,5.007,5.07,0.374,1.036,-0.496,0.69
D2b inp+p700,0.833,5.157,5.072,0.089,-0.222,-0.455,0.36
I3 scf sdor,0.835,5.007,5.058,0.053,1.322,-2.439,0.699
S4 inppmin50k,-0.961,5.31,3.017,0.255,1.029,0.048,0.254
D2a inpsea.2,-1.05,5.181,2.884,-0.377,-0.167,-0.011,-0.283
A1b ovl=0.35,1.523,5.693,5.518,-0.292,-0.135,-0.268,0.065
AB ovl+convi,1.603,5.749,5.632,0.223,-0.053,0.065,0.391
ABB8 A1b+B2+B8,1.818,5.858,5.806,0.309,-0.019,0.405,0.429
B4 entshalp3,1.978,6.505,6.242,-1.547,-0.145,-0.585,-0.687
A1a ovl=0.10,-2.315,5.696,1.249,-1.065,-0.749,0.829,-1.255
A1c depth1500,3.099,6.616,7.18,0.08,0.119,-0.218,0.65
B5 capdcycl0,3.364,6.734,7.461,-1.934,0.407,-0.72,-0.358
D1 capdcycl4,3.4,6.683,7.572,-0.078,-0.17,-0.477,0.615
expA rvrs=500,3.447,6.858,7.529,0.031,0.232,-0.192,0.72
F4 rsmin1000,3.449,6.824,7.6,0.069,0.749,0.061,0.739
F5 all four,3.484,6.839,7.633,0.057,0.746,0.114,0.691
H1 snowcr30,3.509,6.872,7.642,0.093,0.02,-1.233,0.841
B8 lamsk5,3.509,6.885,7.593,0.058,-0.038,-0.464,0.681
F1 z0h/10,3.532,6.836,7.672,0.018,0.185,-0.026,0.643
F3 cov=0.7,3.54,6.877,7.691,0.074,0.067,-0.571,0.636
E1 lamsk2.5,3.545,6.855,7.627,0.065,0.099,-0.07,0.68
A2 KKland=150,3.552,6.838,7.617,0.111,0.108,-0.207,0.733
C2 rlam40,3.561,6.88,7.64,0.091,0.117,-0.316,0.73
B1 detrpen.45,3.568,6.934,7.619,0.678,-0.143,-0.8,1.108
F2 LAI=3,3.575,6.839,7.714,0.073,0.321,-0.112,0.729
C1 rlam75,3.623,6.883,7.681,0.083,0.223,-0.338,0.722
B2 convi=25,3.692,6.848,7.788,0.647,0.344,-0.121,1.038
piCTRL 1850,3.768,7.006,7.317,0.086,0.008,-0.323,0.789
B6 lcritsnow,3.852,7.121,7.915,-0.145,0.025,-0.694,0.464
B3 clddiff,4.302,7.13,8.356,2.016,0.306,-0.486,1.98
B7 rvice.22,4.342,7.236,8.344,-0.438,0.017,-0.729,0.238
LX3 rsnow+dms+inp,-4.748,7.312,-0.634,-0.972,1.331,0.264,-0.877
LY2 rsnow+ovl0.1,-4.75,6.814,-0.869,-0.323,0.615,2.136,-0.582
