run,rmsd,bias
Tuning_test_06_Baseline,1.717,-0.939
Tuning_test_06A_fesomA_albpnd028,1.811,-1.004
Tuning_test_06B_fesomB_albpnd028_rfrac075,1.847,-1.062
Tuning_test_06R_openwater_albedo0075,1.860,-1.127
Tuning_test_06C_fesomC_albpnd028_rfrac075_pndaspect13,1.884,-1.109
Tuning_test_06Q_ralbsead0045,1.891,-1.154
Tuning_test_06D_HRlike,1.892,-1.146
Tuning_test_06S_evp0,1.935,-1.191
Tuning_test_06F_fesomF_F_lrdalb_true,1.962,-1.219
Tuning_test_06E_fesomE_rvice018_ggaussb_m06,1.969,-1.231
Tuning_test_06G_fesomG_stronger_meltpond.,1.990,-1.274
Tuning_test_06N_mospp,2.011,-1.310
Tuning_test_06L_extra_strong_meltpond,2.050,-1.332
Tuning_test_06P_fesomP_entstpc3_1,2.076,-1.358
Tuning_test_06H_fesomH_combo_g_rvice018,2.082,-1.394
Tuning_test_06M_1hcpl,2.315,-1.658
Tuning_test_06T_1hcpl_mospp_kpplow,2.385,-1.791
Tuning_test_06O4_1hcpl_mospp_kv0012,2.387,-1.807
Tuning_test_06O_1hcpl_mospp,2.389,-1.774
Tuning_test_06U_1hcpl_mospp_kpplow_openwater_albedo0075,2.422,-1.845
Tuning_test_06O5_1hcpl_mospp_kv002,2.511,-1.904
Tuning_test_06V_1hcpl_mospp_kpplow_entstpc3_1,2.671,-2.124
