run,rmsd_sqrtcoslat,meanbias
Tuning_test_06_Baseline,1.7147,-0.9591
Tuning_test_06A_fesomA_albpnd028,1.8132,-1.0365
Tuning_test_06B_fesomB_albpnd028_rfrac075,1.8186,-1.0593
Tuning_test_06R_openwater_albedo0075,1.8493,-1.1373
Tuning_test_06C_fesomC_albpnd028_rfrac075_pndaspect13,1.8588,-1.1042
Tuning_test_06D_HRlike,1.8779,-1.1428
Tuning_test_06Q_ralbsead0045,1.8930,-1.1720
Tuning_test_06S_evp0,1.9256,-1.1958
Tuning_test_06F_fesomF_F_lrdalb_true,1.9530,-1.2268
Tuning_test_06E_fesomE_rvice018_ggaussb_m06,1.9656,-1.2389
Tuning_test_06G_fesomG_stronger_meltpond.,1.9766,-1.2754
Tuning_test_06N_mospp,1.9813,-1.2814
Tuning_test_06L_extra_strong_meltpond,2.0159,-1.3089
Tuning_test_06H_fesomH_combo_g_rvice018,2.0571,-1.3777
Tuning_test_06P_fesomP_entstpc3_1,2.0608,-1.3529
Tuning_test_06M_1hcpl,2.2812,-1.6194
Tuning_test_06T_1hcpl_mospp_kpplow,2.3318,-1.7326
Tuning_test_06O4_1hcpl_mospp_kv0012,2.3390,-1.7454
Tuning_test_06O_1hcpl_mospp,2.3557,-1.7337
Tuning_test_06U_1hcpl_mospp_kpplow_openwater_albedo0075,2.3838,-1.7883
Tuning_test_06O5_1hcpl_mospp_kv002,2.4556,-1.8348
Tuning_test_06V_1hcpl_mospp_kpplow_entstpc3_1,2.6069,-2.0405
