Variable Region Level Season AbsMeanError
siconc arctic surface MAM 6.205493678397014
siconc arctic surface JJA 9.2502148312687
siconc arctic surface SON 8.167504764023887
siconc arctic surface DJF 6.384274284530057
siconc northmid surface MAM 18.04774490883403
siconc northmid surface JJA 8.741656975037461
siconc northmid surface SON 5.138104541496967
siconc northmid surface DJF 16.952587552844506
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 4.206639658579428
siconc southmid surface JJA 11.178754723715135
siconc southmid surface SON 20.032421735735237
siconc southmid surface DJF 3.937106791376191
siconc antarctic surface MAM 14.864381978492272
siconc antarctic surface JJA 7.750405334504804
siconc antarctic surface SON 8.815206055142347
siconc antarctic surface DJF 10.932483662320966
tas arctic surface MAM 4.798841965622927
tas arctic surface JJA 1.2607598891826974
tas arctic surface SON 1.9174734441731052
tas arctic surface DJF 6.453328616234117
tas northmid surface MAM 3.039297255005336
tas northmid surface JJA 1.4614575980238675
tas northmid surface SON 1.5319859672359655
tas northmid surface DJF 3.3685265475245387
tas tropics surface MAM 1.7682126634797228
tas tropics surface JJA 1.7678468600525832
tas tropics surface SON 1.6016808331821861
tas tropics surface DJF 1.847930976683984
tas nino34 surface MAM 2.4119915455755394
tas nino34 surface JJA 1.946432619828921
tas nino34 surface SON 2.1651460065858057
tas nino34 surface DJF 2.42354363355359
tas southmid surface MAM 0.9692726498260973
tas southmid surface JJA 1.6556016903176227
tas southmid surface SON 1.5778018040912758
tas southmid surface DJF 1.046937130849992
tas antarctic surface MAM 3.515373002419531
tas antarctic surface JJA 4.002891172238089
tas antarctic surface SON 2.33679649860856
tas antarctic surface DJF 1.4986773402725897
clt arctic surface MAM 18.583012
clt arctic surface JJA 13.219247
clt arctic surface SON 16.815058
clt arctic surface DJF 17.158533
clt northmid surface MAM 6.869524
clt northmid surface JJA 6.105813
clt northmid surface SON 5.1885543
clt northmid surface DJF 7.6751204
clt tropics surface MAM 9.573015
clt tropics surface JJA 9.699725
clt tropics surface SON 7.4007144
clt tropics surface DJF 8.26204
clt nino34 surface MAM 10.4999275
clt nino34 surface JJA 6.2218904
clt nino34 surface SON 8.614227
clt nino34 surface DJF 6.7165585
clt southmid surface MAM 6.4305463
clt southmid surface JJA 6.871245
clt southmid surface SON 6.126754
clt southmid surface DJF 5.452041
clt antarctic surface MAM 27.201075
clt antarctic surface JJA 25.934237
clt antarctic surface SON 16.460667
clt antarctic surface DJF 12.505753
pr arctic surface MAM 2.2052118e-06
pr arctic surface JJA 2.945153e-06
pr arctic surface SON 3.5069925e-06
pr arctic surface DJF 3.6613055e-06
pr northmid surface MAM 4.8880293e-06
