Variable Region Level Season FracMeanError
siconc arctic surface MAM 1.0257725641208284
siconc arctic surface JJA 0.7043603424818422
siconc arctic surface SON 0.5639970115018834
siconc arctic surface DJF 0.8973633053258142
siconc northmid surface MAM 1.2675206823276113
siconc northmid surface JJA 1.1335064031296291
siconc northmid surface SON 1.0175420872775645
siconc northmid surface DJF 1.2169932970165114
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 0.8416267474562814
siconc southmid surface JJA 0.9472647005512728
siconc southmid surface SON 1.2821449502289293
siconc southmid surface DJF 0.69879350390418
siconc antarctic surface MAM 0.5981711660996095
siconc antarctic surface JJA 0.4184188244999226
siconc antarctic surface SON 0.5171360090298543
siconc antarctic surface DJF 0.5360079077335822
tas arctic surface MAM 1.6291724683061883
tas arctic surface JJA 0.6710340040158348
tas arctic surface SON 0.6294648725919756
tas arctic surface DJF 1.4864645193503176
tas northmid surface MAM 1.6065396187232752
tas northmid surface JJA 0.7237596079765206
tas northmid surface SON 0.9473718807258876
tas northmid surface DJF 1.702657689222419
tas tropics surface MAM 1.6084849022659535
tas tropics surface JJA 1.610654115951519
tas tropics surface SON 1.4857087629826242
tas tropics surface DJF 1.6411398607809768
tas nino34 surface MAM 3.458794001848079
tas nino34 surface JJA 3.1052111846173065
tas nino34 surface SON 3.0910634343647403
tas nino34 surface DJF 3.2031230451155284
tas southmid surface MAM 0.7880225747768697
tas southmid surface JJA 1.4496498737951213
tas southmid surface SON 1.469311948840643
tas southmid surface DJF 0.8405634080479018
tas antarctic surface MAM 1.0715642475038851
tas antarctic surface JJA 1.0546602467333994
tas antarctic surface SON 0.7687977377486964
tas antarctic surface DJF 0.49456978735164975
clt arctic surface MAM 1.102863723894209
clt arctic surface JJA 1.1929093654109097
clt arctic surface SON 1.1905133865712594
clt arctic surface DJF 0.9373871722503204
clt northmid surface MAM 0.8830903881742498
clt northmid surface JJA 0.7877716594358591
clt northmid surface SON 0.7171180596431068
clt northmid surface DJF 0.7615669035167884
clt tropics surface MAM 0.8425211518774461
clt tropics surface JJA 0.793039325592535
clt tropics surface SON 0.6763028264174696
clt tropics surface DJF 0.6993279814351422
clt nino34 surface MAM 0.7120929195717197
clt nino34 surface JJA 0.5124590587666492
clt nino34 surface SON 0.6689493401196774
clt nino34 surface DJF 0.5333827446664399
clt southmid surface MAM 0.6647871163684985
clt southmid surface JJA 0.7508871004348612
clt southmid surface SON 0.6546297236183279
clt southmid surface DJF 0.6221126031328955
clt antarctic surface MAM 1.0478201194186039
clt antarctic surface JJA 0.9752406333065958
clt antarctic surface SON 0.7878053454481595
clt antarctic surface DJF 0.6685357307818308
pr arctic surface MAM 0.6960388168729915
pr arctic surface JJA 0.7500129416989277
pr arctic surface SON 0.9612016222808235
pr arctic surface DJF 1.051950168297444
pr northmid surface MAM 0.8139240940652207
pr northmid surface JJA 1.0961409012432897
pr northmid surface SON 1.109725607230608
pr northmid surface DJF 1.0971716726323908
pr tropics surface MAM 1.0792146373536138
pr tropics surface JJA 0.8929155992929976
pr tropics surface SON 0.8018310610928588
pr tropics surface DJF 0.874118444866672
pr nino34 surface MAM 1.618582556312486
pr nino34 surface JJA 0.9694799651408662
pr nino34 surface SON 1.2447253963572569
pr nino34 surface DJF 1.434522187588143
pr southmid surface MAM 1.5972143829539287
pr southmid surface JJA 0.8008175296494042
pr southmid surface SON 1.2323745179935666
pr southmid surface DJF 1.4676721090976221
pr antarctic surface MAM 0.7361661605612536
pr antarctic surface JJA 0.8355854598762746
pr antarctic surface SON 0.9471606186565505
pr antarctic surface DJF 1.2692325192332299
rlut arctic surface MAM 1.5345858242962218
rlut arctic surface JJA 1.5903049527606072
rlut arctic surface SON 1.0294088556374081
rlut arctic surface DJF 1.2396776349659024
rlut northmid surface MAM 1.1670176891028832
rlut northmid surface JJA 0.7612115789208994
rlut northmid surface SON 0.7935903198620456
rlut northmid surface DJF 0.9554028333075607
rlut tropics surface MAM 1.1232305276741696
rlut tropics surface JJA 0.9326106009567992
rlut tropics surface SON 0.8482171826685463
rlut tropics surface DJF 0.8714687872472987
rlut nino34 surface MAM 1.6348075215649185
rlut nino34 surface JJA 0.8083060698746153
rlut nino34 surface SON 0.8527206501586478
rlut nino34 surface DJF 1.1229639822982864
rlut southmid surface MAM 0.9377132901743639
rlut southmid surface JJA 0.9905778138218254
rlut southmid surface SON 1.0945370522390583
rlut southmid surface DJF 0.8178178584594813
rlut antarctic surface MAM 1.1961889049746262
rlut antarctic surface JJA 0.6493600591299215
rlut antarctic surface SON 0.6327675435122027
rlut antarctic surface DJF 1.123255785348314
uas arctic surface MAM 0.7107519349540948
uas arctic surface JJA 0.96704114720732
uas arctic surface SON 0.7570264020163371
uas arctic surface DJF 0.7545841363425055
uas northmid surface MAM 0.7569630029877008
uas northmid surface JJA 0.7513507288046003
uas northmid surface SON 0.49145609448547906
uas northmid surface DJF 0.6450806707418619
uas tropics surface MAM 1.1058372147920117
uas tropics surface JJA 0.7883588240779469
uas tropics surface SON 0.7809447895392058
uas tropics surface DJF 0.9590537633626264
uas nino34 surface MAM 0.9951507070041195
uas nino34 surface JJA 0.7110845776223382
uas nino34 surface SON 1.009681341188661
uas nino34 surface DJF 0.9905642811025195
uas southmid surface MAM 0.8954939724610971
uas southmid surface JJA 0.7509509026635285
uas southmid surface SON 0.9212208691969048
uas southmid surface DJF 0.5645029049764905
uas antarctic surface MAM 0.7054644025065138
uas antarctic surface JJA 0.6648454051845847
uas antarctic surface SON 0.7452139527813197
uas antarctic surface DJF 0.7356456643896698
vas arctic surface MAM 0.759137942439605
vas arctic surface JJA 0.7587135845078024
vas arctic surface SON 0.7444374052976754
vas arctic surface DJF 0.7427936466886615
vas northmid surface MAM 0.6926324971322123
vas northmid surface JJA 0.6898039967533286
vas northmid surface SON 0.5696209635976027
vas northmid surface DJF 0.6800934466335731
vas tropics surface MAM 1.0100665625172072
vas tropics surface JJA 0.7882350809288767
vas tropics surface SON 0.7851691077162797
vas tropics surface DJF 0.8393558459659751
vas nino34 surface MAM 1.179246183064132
vas nino34 surface JJA 1.1329720214466217
vas nino34 surface SON 0.96924568572205
vas nino34 surface DJF 0.7839441164751623
vas southmid surface MAM 0.7058741747975178
vas southmid surface JJA 0.7981120262843308
vas southmid surface SON 0.6673566373682955
vas southmid surface DJF 0.5630871498153192
vas antarctic surface MAM 0.6944252711191231
vas antarctic surface JJA 0.6523045419637101
vas antarctic surface SON 0.6590166721038634
vas antarctic surface DJF 0.6622811995568001
ua arctic 300hPa MAM 0.8674048118579857
ua arctic 300hPa JJA 0.8625651585972675
ua arctic 300hPa SON 0.8939365480536572
ua arctic 300hPa DJF 0.6196279265185122
ua northmid 300hPa MAM 0.9998373498155163
ua northmid 300hPa JJA 1.0942097405175781
ua northmid 300hPa SON 0.5633899960539331
ua northmid 300hPa DJF 0.6552034800666449
ua tropics 300hPa MAM 0.9333590772677304
ua tropics 300hPa JJA 0.5681530812453103
ua tropics 300hPa SON 0.5632518721121378
ua tropics 300hPa DJF 0.8553997247865384
ua nino34 300hPa MAM 0.41906267789379853
ua nino34 300hPa JJA 0.30487874154969546
ua nino34 300hPa SON 0.5115768050989032
ua nino34 300hPa DJF 0.47027864787547397
ua southmid 300hPa MAM 0.8781699568324628
ua southmid 300hPa JJA 0.8803541110228186
ua southmid 300hPa SON 1.2879437640406002
ua southmid 300hPa DJF 0.7656073843995888
ua antarctic 300hPa MAM 0.88561552848821
ua antarctic 300hPa JJA 0.8481760876005109
ua antarctic 300hPa SON 1.0782035157598542
ua antarctic 300hPa DJF 0.8376918015746236
zg arctic 500hPa MAM 1.6324253719263535
