Variable Region Level Season AbsMeanError
siconc arctic surface MAM 6.544616980396195
siconc arctic surface JJA 9.233808795142886
siconc arctic surface SON 7.743285768071686
siconc arctic surface DJF 6.652627011569878
siconc northmid surface MAM 19.393747389346032
siconc northmid surface JJA 10.39440120838292
siconc northmid surface SON 4.991987540103933
siconc northmid surface DJF 17.48374988963203
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 4.008189956807345
siconc southmid surface JJA 12.23483256500815
siconc southmid surface SON 20.92360440738788
siconc southmid surface DJF 3.991813171725063
siconc antarctic surface MAM 12.948151769287431
siconc antarctic surface JJA 7.731403675122206
siconc antarctic surface SON 10.967834214724359
siconc antarctic surface DJF 10.26189824659877
tas arctic surface MAM 5.129550588638342
tas arctic surface JJA 1.3054504503831892
tas arctic surface SON 2.2914136456517014
tas arctic surface DJF 7.090641506610531
tas northmid surface MAM 3.169105345995687
tas northmid surface JJA 1.6317063452276699
tas northmid surface SON 1.7748469781791085
tas northmid surface DJF 3.549573479650431
tas tropics surface MAM 1.972836447964959
tas tropics surface JJA 1.9484636658854004
tas tropics surface SON 1.7681783344719486
tas tropics surface DJF 2.015894307823034
tas nino34 surface MAM 2.6406167795436386
tas nino34 surface JJA 2.1387106553106916
tas nino34 surface SON 2.3719577843364568
tas nino34 surface DJF 2.6217293635340586
tas southmid surface MAM 1.2137939188799332
tas southmid surface JJA 1.8815168885898266
tas southmid surface SON 1.7813656640900932
tas southmid surface DJF 1.2969229560057611
tas antarctic surface MAM 3.7059115381011005
tas antarctic surface JJA 4.3977335564093085
tas antarctic surface SON 2.7158024772929337
tas antarctic surface DJF 1.8586212269636293
clt arctic surface MAM 18.311394
clt arctic surface JJA 13.014935
clt arctic surface SON 16.553469
clt arctic surface DJF 17.040125
clt northmid surface MAM 6.744471
clt northmid surface JJA 6.0814853
clt northmid surface SON 5.1187963
clt northmid surface DJF 7.703089
clt tropics surface MAM 9.677909
clt tropics surface JJA 9.655797
clt tropics surface SON 7.494719
clt tropics surface DJF 8.410214
clt nino34 surface MAM 10.295958
clt nino34 surface JJA 6.010806
clt nino34 surface SON 8.071496
clt nino34 surface DJF 7.209806
clt southmid surface MAM 6.4175115
clt southmid surface JJA 6.581116
clt southmid surface SON 6.0370226
clt southmid surface DJF 5.5629563
clt antarctic surface MAM 27.018892
clt antarctic surface JJA 25.89585
clt antarctic surface SON 16.42038
clt antarctic surface DJF 12.552489
pr arctic surface MAM 2.1345159e-06
pr arctic surface JJA 2.9028367e-06
pr arctic surface SON 3.7951806e-06
pr arctic surface DJF 3.879166e-06
pr northmid surface MAM 4.7224617e-06
pr northmid surface JJA 8.127945e-06
