Variable Region Level Season FracMeanError
siconc arctic surface MAM 1.0818298896251355
siconc arctic surface JJA 0.7031111000117879
siconc arctic surface SON 0.5347030896919749
siconc arctic surface DJF 0.9350825321944287
siconc northmid surface MAM 1.362052491765927
siconc northmid surface JJA 1.347813161743275
siconc northmid surface SON 0.9886053076960246
siconc northmid surface DJF 1.2551244083576576
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 0.8019227103644736
siconc southmid surface JJA 1.036754566356182
siconc southmid surface SON 1.339183753488181
siconc southmid surface DJF 0.7085032896010371
siconc antarctic surface MAM 0.5210583967686089
siconc antarctic surface JJA 0.4173929875740759
siconc antarctic surface SON 0.6434179732185571
siconc antarctic surface DJF 0.5031298265271384
tas arctic surface MAM 1.741445676615149
tas arctic surface JJA 0.6948203621331773
tas arctic surface SON 0.7522213164926883
tas arctic surface DJF 1.6332636451357276
tas northmid surface MAM 1.6751547700262261
tas northmid surface JJA 0.8080721235782942
tas northmid surface SON 1.0975558234073663
tas northmid surface DJF 1.7941697930295908
tas tropics surface MAM 1.7946244287985318
tas tropics surface JJA 1.7752109043805748
tas tropics surface SON 1.6401507663806718
tas tropics surface DJF 1.7903074007810325
tas nino34 surface MAM 3.7866424096795774
tas nino34 surface JJA 3.411958975551223
tas nino34 surface SON 3.386317575220146
tas nino34 surface DJF 3.4650590260174567
tas southmid surface MAM 0.9868193530229934
tas southmid surface JJA 1.6474619082832418
tas southmid surface SON 1.6588787316094395
tas southmid surface DJF 1.0412716750151836
tas antarctic surface MAM 1.1296446510535472
tas antarctic surface JJA 1.1586911954633874
tas antarctic surface SON 0.8934893568859547
tas antarctic surface DJF 0.6133527746669412
clt arctic surface MAM 1.086743757820126
clt arctic surface JJA 1.174472151256802
clt arctic surface SON 1.1719927682837252
clt arctic surface DJF 0.9309184181863479
clt northmid surface MAM 0.8670145960941935
clt northmid surface JJA 0.7846328938327277
clt northmid surface SON 0.7074767078035172
clt northmid surface DJF 0.7643421272307229
clt tropics surface MAM 0.851752845949597
clt tropics surface JJA 0.7894478065522375
clt tropics surface SON 0.6848932940745427
clt tropics surface DJF 0.7118699713694993
clt nino34 surface MAM 0.698259913506658
clt nino34 surface JJA 0.4950733306959436
clt nino34 surface SON 0.6268028163983015
clt nino34 surface DJF 0.572553059621449
clt southmid surface MAM 0.6634395822107606
clt southmid surface JJA 0.7191819426135644
clt southmid surface SON 0.645042147022027
clt southmid surface DJF 0.6347687317223061
clt antarctic surface MAM 1.0408022241797688
clt antarctic surface JJA 0.9737971031165423
clt antarctic surface SON 0.7858772140635157
clt antarctic surface DJF 0.6710341942085761
pr arctic surface MAM 0.6737248089170775
pr arctic surface JJA 0.7392366720572836
pr arctic surface SON 1.0401886586588849
pr arctic surface DJF 1.114544847045802
pr northmid surface MAM 0.7863548118755319
pr northmid surface JJA 1.114565186577693
pr northmid surface SON 1.1154546608460116
pr northmid surface DJF 1.1133012535155606
pr tropics surface MAM 1.078932824607929
pr tropics surface JJA 0.8818618047597883
pr tropics surface SON 0.7872902324297575
pr tropics surface DJF 0.8825071138826694
pr nino34 surface MAM 1.6208462936114107
pr nino34 surface JJA 0.9648712625789484
pr nino34 surface SON 1.249206652853027
pr nino34 surface DJF 1.440658688016014
pr southmid surface MAM 1.6197519290981666
pr southmid surface JJA 0.8076673085208323
pr southmid surface SON 1.234233032624644
pr southmid surface DJF 1.5238860535192567
pr antarctic surface MAM 0.7409924235997778
pr antarctic surface JJA 0.8399081835954473
pr antarctic surface SON 0.9562799962083469
pr antarctic surface DJF 1.3014156330190552
rlut arctic surface MAM 1.6443670956032512
rlut arctic surface JJA 1.6536765612097692
rlut arctic surface SON 1.163438038132177
rlut arctic surface DJF 1.320390994326726
rlut northmid surface MAM 1.2224488446356576
rlut northmid surface JJA 0.8199765618700856
rlut northmid surface SON 0.9133094750965138
rlut northmid surface DJF 1.0669695557180674
rlut tropics surface MAM 1.1332129395900503
rlut tropics surface JJA 0.938092906713267
rlut tropics surface SON 0.837780746819514
rlut tropics surface DJF 0.8917295584131344
rlut nino34 surface MAM 1.5926307297518867
rlut nino34 surface JJA 0.7919747556206247
rlut nino34 surface SON 0.8173906849467591
rlut nino34 surface DJF 1.0894000996595201
rlut southmid surface MAM 1.1218583308217287
rlut southmid surface JJA 1.111029176751573
rlut southmid surface SON 1.2623566191139213
rlut southmid surface DJF 1.0074023734844852
rlut antarctic surface MAM 1.3393795634501726
rlut antarctic surface JJA 0.7860052089143136
rlut antarctic surface SON 0.8358318124672736
rlut antarctic surface DJF 1.2745568482551797
uas arctic surface MAM 0.7608022780304028
uas arctic surface JJA 0.9768030625899035
uas arctic surface SON 0.6966459066998282
uas arctic surface DJF 0.8216370744254008
uas northmid surface MAM 0.7544994054275657
uas northmid surface JJA 0.769761639376414
uas northmid surface SON 0.5332669491347771
uas northmid surface DJF 0.6621004495491619
uas tropics surface MAM 1.1034620509030677
uas tropics surface JJA 0.7802713525628739
uas tropics surface SON 0.7860376703257208
uas tropics surface DJF 0.9747527258838705
uas nino34 surface MAM 1.0244750013256896
uas nino34 surface JJA 0.7417122591594565
uas nino34 surface SON 1.0720430928718787
uas nino34 surface DJF 1.0526639665541075
uas southmid surface MAM 0.8818416280886234
uas southmid surface JJA 0.7214919933772158
uas southmid surface SON 0.8933011943249066
uas southmid surface DJF 0.604525662826074
uas antarctic surface MAM 0.7264357517524977
uas antarctic surface JJA 0.6759819399391046
uas antarctic surface SON 0.736290316517633
uas antarctic surface DJF 0.7388297926318328
vas arctic surface MAM 0.7433387979184707
vas arctic surface JJA 0.7642285503293373
vas arctic surface SON 0.7742857977969322
vas arctic surface DJF 0.7600450881121812
vas northmid surface MAM 0.7224771844368687
vas northmid surface JJA 0.6820073384536489
vas northmid surface SON 0.5779280307946045
vas northmid surface DJF 0.6635789730939753
vas tropics surface MAM 1.0118539145647785
vas tropics surface JJA 0.7866440534556993
vas tropics surface SON 0.7687198527377015
vas tropics surface DJF 0.8557059267122247
vas nino34 surface MAM 1.164623099505689
vas nino34 surface JJA 1.1195739348391036
vas nino34 surface SON 0.9247702607539384
vas nino34 surface DJF 0.7896554058280181
vas southmid surface MAM 0.7555845752327381
vas southmid surface JJA 0.7201089498150276
vas southmid surface SON 0.6381791686503906
vas southmid surface DJF 0.6142135058211549
vas antarctic surface MAM 0.6818408479955047
vas antarctic surface JJA 0.6438570404713653
vas antarctic surface SON 0.6412668740413129
vas antarctic surface DJF 0.6742631227233444
ua arctic 300hPa MAM 0.8599241256088034
ua arctic 300hPa JJA 0.9286694808757255
ua arctic 300hPa SON 0.781125296596401
ua arctic 300hPa DJF 0.7248635284334595
ua northmid 300hPa MAM 0.9672740977342855
ua northmid 300hPa JJA 1.1297318891435162
ua northmid 300hPa SON 0.5942506435865742
ua northmid 300hPa DJF 0.714593336896142
ua tropics 300hPa MAM 0.9360379214181785
ua tropics 300hPa JJA 0.5599714578420052
ua tropics 300hPa SON 0.5538096040452042
ua tropics 300hPa DJF 0.8600839367669164
ua nino34 300hPa MAM 0.36578423193124754
ua nino34 300hPa JJA 0.26044875542100476
ua nino34 300hPa SON 0.35257500239943024
ua nino34 300hPa DJF 0.4736223642880041
ua southmid 300hPa MAM 0.9370622142156317
ua southmid 300hPa JJA 0.8339732828092545
ua southmid 300hPa SON 1.2677875802873626
ua southmid 300hPa DJF 0.8007706801561513
ua antarctic 300hPa MAM 0.8955629328500101
ua antarctic 300hPa JJA 0.8441670721964231
ua antarctic 300hPa SON 0.9516757464682745
ua antarctic 300hPa DJF 0.8865178018541174
zg arctic 500hPa MAM 1.6896518121296276
zg arctic 500hPa JJA 1.1209910000397496
zg arctic 500hPa SON 0.4232705044952478
zg arctic 500hPa DJF 1.3179574507149308
zg northmid 500hPa MAM 1.4983267355994523
zg northmid 500hPa JJA 0.8193136658953892
zg northmid 500hPa SON 1.0550996266529333
zg northmid 500hPa DJF 1.4083420333171563
zg tropics 500hPa MAM 1.9125680211105769
zg tropics 500hPa JJA 1.7802431343960066
zg tropics 500hPa SON 1.596001149371813
zg tropics 500hPa DJF 1.9733584705414053
zg nino34 500hPa MAM 2.2443223174887983
zg nino34 500hPa JJA 1.9770750165269202
zg nino34 500hPa SON 1.8175228641571488
zg nino34 500hPa DJF 2.2732504606313726
zg southmid 500hPa MAM 1.486108308116367
zg southmid 500hPa JJA 2.2735348633666015
zg southmid 500hPa SON 2.3359056264285547
zg southmid 500hPa DJF 1.4311031349476215
zg antarctic 500hPa MAM 1.022487979993096
zg antarctic 500hPa JJA 1.128113126303678
zg antarctic 500hPa SON 0.7687327329041024
zg antarctic 500hPa DJF 0.4051105401472548
zos arctic surface MAM 0.8044130135511197
zos arctic surface JJA 0.4493109391663793
zos arctic surface SON 0.5872769183697076
zos arctic surface DJF 0.6578675705751668
zos northmid surface MAM 0.888156858789634
zos northmid surface JJA 0.8789420266482783
zos northmid surface SON 0.9233243634451305
zos northmid surface DJF 0.8984918201814798
