Variable Region Level Season AbsMeanError
siconc arctic surface MAM 7.632764431096707
siconc arctic surface JJA 8.776809103672473
siconc arctic surface SON 9.658426346423006
siconc arctic surface DJF 7.9740576538598065
siconc northmid surface MAM 19.97677241477513
siconc northmid surface JJA 8.999366738617413
siconc northmid surface SON 5.040357313810398
siconc northmid surface DJF 17.26783240490552
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 4.421704094211885
siconc southmid surface JJA 9.29856657895076
siconc southmid surface SON 17.150029599730054
siconc southmid surface DJF 3.6855538995188164
siconc antarctic surface MAM 15.453534902612454
siconc antarctic surface JJA 7.867914600500902
siconc antarctic surface SON 10.363047929169491
siconc antarctic surface DJF 11.407577370234101
tas arctic surface MAM 4.149119931017425
tas arctic surface JJA 1.2291801263497344
tas arctic surface SON 1.7789776535413269
tas arctic surface DJF 5.755506770283548
tas northmid surface MAM 2.988822835334766
tas northmid surface JJA 1.4901833771420772
tas northmid surface SON 1.499294155809196
tas northmid surface DJF 3.176553687856327
tas tropics surface MAM 1.7441496939417076
tas tropics surface JJA 1.716288381869828
tas tropics surface SON 1.5503752902769827
tas tropics surface DJF 1.8472202677827114
tas nino34 surface MAM 2.387568073488951
tas nino34 surface JJA 1.9025819118211085
tas nino34 surface SON 2.222247701328644
tas nino34 surface DJF 2.4802488540939547
tas southmid surface MAM 1.031563292104267
tas southmid surface JJA 1.6084960746245607
tas southmid surface SON 1.5460841997944816
tas southmid surface DJF 1.0971409692223937
tas antarctic surface MAM 3.0498385908513717
tas antarctic surface JJA 3.578124515867645
tas antarctic surface SON 2.2864078118532585
tas antarctic surface DJF 1.5364790955128296
clt arctic surface MAM 19.198498
clt arctic surface JJA 13.613964
clt arctic surface SON 17.122849
clt arctic surface DJF 18.089268
clt northmid surface MAM 6.9773636
clt northmid surface JJA 5.9921165
clt northmid surface SON 4.9659467
clt northmid surface DJF 7.4318137
clt tropics surface MAM 9.985067
clt tropics surface JJA 9.618953
clt tropics surface SON 7.8981695
clt tropics surface DJF 8.704315
clt nino34 surface MAM 9.994548
clt nino34 surface JJA 6.6462493
clt nino34 surface SON 9.206651
clt nino34 surface DJF 6.580825
clt southmid surface MAM 5.7885656
clt southmid surface JJA 5.9701395
clt southmid surface SON 5.5618577
clt southmid surface DJF 4.997261
clt antarctic surface MAM 27.198881
clt antarctic surface JJA 26.251291
clt antarctic surface SON 17.186335
clt antarctic surface DJF 12.536353
pr arctic surface MAM 2.3403618e-06
pr arctic surface JJA 2.9738553e-06
pr arctic surface SON 3.7023342e-06
pr arctic surface DJF 3.425037e-06
pr northmid surface MAM 5.139811e-06
pr northmid surface JJA 8.299476e-06
pr northmid surface SON 6.6497228e-06
pr northmid surface DJF 8.36125e-06
pr tropics surface MAM 1.7140805e-05
pr tropics surface JJA 1.38419655e-05
pr tropics surface SON 1.1213282e-05
pr tropics surface DJF 1.4029692e-05
pr nino34 surface MAM 3.180917e-05
pr nino34 surface JJA 1.4329203e-05
pr nino34 surface SON 1.050735e-05
pr nino34 surface DJF 2.0021836e-05
pr southmid surface MAM 8.7377375e-06
pr southmid surface JJA 6.0746847e-06
pr southmid surface SON 6.7857522e-06
pr southmid surface DJF 6.847557e-06
pr antarctic surface MAM 2.8266368e-06
pr antarctic surface JJA 3.9698884e-06
pr antarctic surface SON 3.5909309e-06
pr antarctic surface DJF 2.99344e-06
rlut arctic surface MAM 8.763874
rlut arctic surface JJA 10.021339
rlut arctic surface SON 5.467143
rlut arctic surface DJF 9.102527
rlut northmid surface MAM 8.230581
rlut northmid surface JJA 6.7471633
rlut northmid surface SON 5.9742875
rlut northmid surface DJF 6.4437394
rlut tropics surface MAM 13.635658
rlut tropics surface JJA 10.394725
rlut tropics surface SON 8.854153
rlut tropics surface DJF 10.575505
rlut nino34 surface MAM 20.983452
rlut nino34 surface JJA 7.2726502
rlut nino34 surface SON 6.3878274
rlut nino34 surface DJF 10.613776
rlut southmid surface MAM 5.803565
rlut southmid surface JJA 8.288108
rlut southmid surface SON 6.6329308
rlut southmid surface DJF 4.5924377
rlut antarctic surface MAM 4.9143662
rlut antarctic surface JJA 3.7049658
rlut antarctic surface SON 3.5844843
rlut antarctic surface DJF 5.3792315
uas arctic surface MAM 0.46673849097204556
uas arctic surface JJA 0.5472565321081609
uas arctic surface SON 0.39752420042205694
uas arctic surface DJF 0.6345174339431584
uas northmid surface MAM 0.6031206447314033
uas northmid surface JJA 0.5279681512137252
uas northmid surface SON 0.3859102015309582
uas northmid surface DJF 0.6664593917176488
uas tropics surface MAM 1.001450138508936
uas tropics surface JJA 0.7460572220403424
uas tropics surface SON 0.7243885765216422
uas tropics surface DJF 0.9507335511951811
uas nino34 surface MAM 0.9745477332880648
uas nino34 surface JJA 0.6054934671471722
uas nino34 surface SON 0.8948069429593013
uas nino34 surface DJF 0.9693493888411725
uas southmid surface MAM 0.937260255773204
uas southmid surface JJA 0.9869533534313524
uas southmid surface SON 0.9936200983992162
uas southmid surface DJF 0.5800812384980444
uas antarctic surface MAM 1.1145400270015267
uas antarctic surface JJA 1.1159354650815365
uas antarctic surface SON 1.1353138335631932
uas antarctic surface DJF 0.9744953578062302
vas arctic surface MAM 0.4650271516513925
vas arctic surface JJA 0.38591138064871644
vas arctic surface SON 0.5398609526733393
vas arctic surface DJF 0.643350618620519
vas northmid surface MAM 0.41906105455290055
vas northmid surface JJA 0.45318327544571974
vas northmid surface SON 0.3481015978946789
vas northmid surface DJF 0.5297018409478389
