Variable Region Level Season AbsMeanError
siconc arctic surface MAM 7.24666058153183
siconc arctic surface JJA 9.782009565903667
siconc arctic surface SON 12.899817298036595
siconc arctic surface DJF 7.693107204479654
siconc northmid surface MAM 16.323541390362067
siconc northmid surface JJA 8.333040700382462
siconc northmid surface SON 5.455366926090813
siconc northmid surface DJF 14.610103811593975
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 4.273390704858303
siconc southmid surface JJA 8.350941756956885
siconc southmid surface SON 14.889374426861163
siconc southmid surface DJF 3.941909872053448
siconc antarctic surface MAM 17.297713402970878
siconc antarctic surface JJA 7.133264516455405
siconc antarctic surface SON 9.59936834058558
siconc antarctic surface DJF 11.592049207157405
tas arctic surface MAM 2.8830562769728725
tas arctic surface JJA 1.0858326253217785
tas arctic surface SON 1.890489167435272
tas arctic surface DJF 3.750749556565803
tas northmid surface MAM 2.3851967809555084
tas northmid surface JJA 1.2731983422922235
tas northmid surface SON 1.1576621269444158
tas northmid surface DJF 2.6247800202099594
tas tropics surface MAM 1.22096414791854
tas tropics surface JJA 1.2337557333322033
tas tropics surface SON 1.1015513686447593
tas tropics surface DJF 1.2820930708498797
tas nino34 surface MAM 1.6817842294948102
tas nino34 surface JJA 1.287869133093895
tas nino34 surface SON 1.5036136681255192
tas nino34 surface DJF 1.6458100214930431
tas southmid surface MAM 0.7632026195814873
tas southmid surface JJA 1.23859819140667
tas southmid surface SON 1.2346993915753726
tas southmid surface DJF 0.8476411280848247
tas antarctic surface MAM 2.814308579089028
tas antarctic surface JJA 3.521573237220139
tas antarctic surface SON 1.8028098805221753
tas antarctic surface DJF 1.1127611225942662
clt arctic surface MAM 19.417538
clt arctic surface JJA 14.056268
clt arctic surface SON 17.189062
clt arctic surface DJF 18.279446
clt northmid surface MAM 7.277124
clt northmid surface JJA 6.174677
clt northmid surface SON 5.3597045
clt northmid surface DJF 7.7763944
clt tropics surface MAM 9.986935
clt tropics surface JJA 10.011497
clt tropics surface SON 8.1482725
clt tropics surface DJF 8.785748
clt nino34 surface MAM 9.748159
clt nino34 surface JJA 7.702171
clt nino34 surface SON 10.328857
clt nino34 surface DJF 7.226462
clt southmid surface MAM 5.5963497
clt southmid surface JJA 5.9904795
clt southmid surface SON 5.5427117
clt southmid surface DJF 4.8140025
clt antarctic surface MAM 27.265326
clt antarctic surface JJA 26.258236
clt antarctic surface SON 16.338142
clt antarctic surface DJF 12.652376
pr arctic surface MAM 2.3183786e-06
pr arctic surface JJA 2.9064029e-06
pr arctic surface SON 3.6591505e-06
pr arctic surface DJF 3.3083502e-06
pr northmid surface MAM 5.0878093e-06
pr northmid surface JJA 8.418374e-06
pr northmid surface SON 6.7257574e-06
pr northmid surface DJF 7.4920627e-06
pr tropics surface MAM 1.7650273e-05
pr tropics surface JJA 1.47064675e-05
pr tropics surface SON 1.2085269e-05
pr tropics surface DJF 1.4263849e-05
pr nino34 surface MAM 3.0310883e-05
pr nino34 surface JJA 1.4321168e-05
pr nino34 surface SON 1.042202e-05
pr nino34 surface DJF 1.9486506e-05
pr southmid surface MAM 8.804105e-06
pr southmid surface JJA 5.983605e-06
pr southmid surface SON 6.64348e-06
pr southmid surface DJF 6.792898e-06
pr antarctic surface MAM 2.8275012e-06
pr antarctic surface JJA 4.1625926e-06
pr antarctic surface SON 3.5243677e-06
pr antarctic surface DJF 2.930878e-06
rlut arctic surface MAM 6.958316
rlut arctic surface JJA 9.793163
rlut arctic surface SON 5.2905893
rlut arctic surface DJF 7.003034
rlut northmid surface MAM 8.401345
rlut northmid surface JJA 6.782249
rlut northmid surface SON 6.085784
rlut northmid surface DJF 6.791572
rlut tropics surface MAM 13.598121
rlut tropics surface JJA 10.967785
rlut tropics surface SON 8.913761
rlut tropics surface DJF 10.510635
rlut nino34 surface MAM 18.970268
rlut nino34 surface JJA 7.0946093
rlut nino34 surface SON 5.496588
rlut nino34 surface DJF 10.288894
rlut southmid surface MAM 6.4385147
rlut southmid surface JJA 8.715252
rlut southmid surface SON 7.3383865
rlut southmid surface DJF 5.2936716
rlut antarctic surface MAM 5.099823
rlut antarctic surface JJA 4.212771
rlut antarctic surface SON 3.1976004
rlut antarctic surface DJF 5.1009216
uas arctic surface MAM 0.5040104146629275
uas arctic surface JJA 0.6673710189623725
uas arctic surface SON 0.410046028508789
uas arctic surface DJF 0.5904848473956825
uas northmid surface MAM 0.6112729004966958
uas northmid surface JJA 0.5198909753148657
uas northmid surface SON 0.38411212729204436
uas northmid surface DJF 0.6047606742417303
uas tropics surface MAM 1.0529488911192553
uas tropics surface JJA 0.7949568452826536
uas tropics surface SON 0.7298259496608394
uas tropics surface DJF 0.8954978982215555
uas nino34 surface MAM 0.9942059793740192
uas nino34 surface JJA 0.6297382266701094
uas nino34 surface SON 0.6550911906542897
uas nino34 surface DJF 0.8250438522993365
uas southmid surface MAM 1.0830113955051144
uas southmid surface JJA 1.0583728551519072
uas southmid surface SON 1.0890869871925808
uas southmid surface DJF 0.6003806556623309
uas antarctic surface MAM 1.1761365215850208
uas antarctic surface JJA 1.0477937534996664
uas antarctic surface SON 1.1513896341926118
uas antarctic surface DJF 0.996931883205721
vas arctic surface MAM 0.5112153787437221
vas arctic surface JJA 0.47722267626205545
vas arctic surface SON 0.534058760883597
vas arctic surface DJF 0.6486272560456715
vas northmid surface MAM 0.4068917014253307
vas northmid surface JJA 0.4457942999091994
vas northmid surface SON 0.33243188278128766
vas northmid surface DJF 0.4865350111289369
vas tropics surface MAM 0.7594081850245652
vas tropics surface JJA 0.6576935286138512
vas tropics surface SON 0.5587847807819923
vas tropics surface DJF 0.6897625788827356
vas nino34 surface MAM 1.4835925655666893
vas nino34 surface JJA 1.1305875317174132
vas nino34 surface SON 0.6530790856713632
vas nino34 surface DJF 0.8117425665327264
vas southmid surface MAM 0.5145521608279915
vas southmid surface JJA 0.6539455883309803
vas southmid surface SON 0.4686790736201068
vas southmid surface DJF 0.3787739512862329
vas antarctic surface MAM 0.9997645609982941
vas antarctic surface JJA 1.015981109206866
vas antarctic surface SON 0.8964377479354109
vas antarctic surface DJF 0.7908990521776749
ua arctic 300hPa MAM 1.328945890528078
ua arctic 300hPa JJA 1.5509702831126375
ua arctic 300hPa SON 1.1071149075920035
ua arctic 300hPa DJF 0.929756321323592
ua northmid 300hPa MAM 2.2547526929065986
ua northmid 300hPa JJA 2.3529787837114653
ua northmid 300hPa SON 1.0984125928816826
ua northmid 300hPa DJF 2.082475101053888
ua tropics 300hPa MAM 2.443656037430966
ua tropics 300hPa JJA 1.9655313498817184
ua tropics 300hPa SON 1.5050379425757805
ua tropics 300hPa DJF 2.0000751334443825
ua nino34 300hPa MAM 2.0067286419323875
ua nino34 300hPa JJA 0.9869433621459572
ua nino34 300hPa SON 1.2150377940090713
ua nino34 300hPa DJF 2.351365496386224
ua southmid 300hPa MAM 2.4821703689188963
ua southmid 300hPa JJA 2.5329224918180073
ua southmid 300hPa SON 3.5727650862229328
ua southmid 300hPa DJF 2.2476868782309185
ua antarctic 300hPa MAM 1.352871672327356
ua antarctic 300hPa JJA 1.2284293112607296
ua antarctic 300hPa SON 1.6698884601838724
ua antarctic 300hPa DJF 1.3479243334426383
zg arctic 500hPa MAM 20.002846
zg arctic 500hPa JJA 20.139946
zg arctic 500hPa SON 14.341222
zg arctic 500hPa DJF 17.289854
zg northmid 500hPa MAM 36.912556
zg northmid 500hPa JJA 11.72164
zg northmid 500hPa SON 11.609517
zg northmid 500hPa DJF 36.757072
zg tropics 500hPa MAM 22.394238
zg tropics 500hPa JJA 22.01804
zg tropics 500hPa SON 16.072086
zg tropics 500hPa DJF 26.842983
zg nino34 500hPa MAM 24.97159
zg nino34 500hPa JJA 22.403845
zg nino34 500hPa SON 16.9441
zg nino34 500hPa DJF 27.93946
zg southmid 500hPa MAM 27.21143
zg southmid 500hPa JJA 56.249973
zg southmid 500hPa SON 54.011448
zg southmid 500hPa DJF 27.799046
zg antarctic 500hPa MAM 59.835587
zg antarctic 500hPa JJA 69.46185
zg antarctic 500hPa SON 32.2284
zg antarctic 500hPa DJF 14.794356
zos arctic surface MAM 0.02642120926972383
zos arctic surface JJA 0.020985530923708945
zos arctic surface SON 0.02315645921094959
zos arctic surface DJF 0.02575229200468954
zos northmid surface MAM 0.03464134924968948
zos northmid surface JJA 0.03566124328946832
zos northmid surface SON 0.03829211450298513
zos northmid surface DJF 0.03514412671687774
zos tropics surface MAM 0.023338223144825816
zos tropics surface JJA 0.023385767599020387
zos tropics surface SON 0.02537011065979773
zos tropics surface DJF 0.023026508260231275
zos nino34 surface MAM 0.03496619844242931
zos nino34 surface JJA 0.04213969229124486
zos nino34 surface SON 0.051876494254892075
zos nino34 surface DJF 0.040812816255639005
zos southmid surface MAM 0.03618368434621518
zos southmid surface JJA 0.0348665754528721
zos southmid surface SON 0.035217887873030235
zos southmid surface DJF 0.03589116174220363
zos antarctic surface MAM 0.029920605514010597
zos antarctic surface JJA 0.024745995379760095
zos antarctic surface SON 0.0338990415902461
zos antarctic surface DJF 0.0301145133422698
mlotst arctic surface MAM 35.953117
mlotst arctic surface JJA 3.9614973
mlotst arctic surface SON 5.5691442
mlotst arctic surface DJF 30.799593
mlotst northmid surface MAM 43.672447
mlotst northmid surface JJA 3.0232012
mlotst northmid surface SON 8.000561
mlotst northmid surface DJF 45.212982
mlotst tropics surface MAM 7.3230886
mlotst tropics surface JJA 8.162067
mlotst tropics surface SON 7.901666
mlotst tropics surface DJF 6.2181745
mlotst nino34 surface MAM 3.834854
mlotst nino34 surface JJA 8.20571
mlotst nino34 surface SON 7.0210514
mlotst nino34 surface DJF 4.9409056
mlotst southmid surface MAM 7.8101087
mlotst southmid surface JJA 31.349426
mlotst southmid surface SON 44.735138
mlotst southmid surface DJF 8.148904
mlotst antarctic surface MAM 44.792133
mlotst antarctic surface JJA 104.19764
mlotst antarctic surface SON 118.64125
mlotst antarctic surface DJF 30.609997
thetao arctic 10m MAM 0.76006275
thetao arctic 10m JJA 0.83023673
thetao arctic 10m SON 0.50443417
thetao arctic 10m DJF 0.6894265
thetao arctic 100m MAM 0.6255604
thetao arctic 100m JJA 0.4590967
thetao arctic 100m SON 0.4513922
thetao arctic 100m DJF 0.48348185
thetao arctic 1000m MAM 0.086852215
thetao arctic 1000m JJA 0.08672222
thetao arctic 1000m SON 0.08812811
