Variable Region Level Season FracMeanError
siconc arctic surface MAM 1.1978782013603502
siconc arctic surface JJA 0.744854009737152
siconc arctic surface SON 0.8907810420949834
siconc arctic surface DJF 1.0813307514004877
siconc northmid surface MAM 1.1464272365123664
siconc northmid surface JJA 1.080522264645697
siconc northmid surface SON 1.0803722275417453
siconc northmid surface DJF 1.0488309440668158
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 0.8549816983264885
siconc southmid surface JJA 0.7076416415097709
siconc southmid surface SON 0.9529719614185796
siconc southmid surface DJF 0.6996459983255523
siconc antarctic surface MAM 0.6960930775381927
siconc antarctic surface JJA 0.3851014269582044
siconc antarctic surface SON 0.5631381730393142
siconc antarctic surface DJF 0.568345696530779
tas arctic surface MAM 0.9787769517456568
tas arctic surface JJA 0.5779297235836415
tas arctic surface SON 0.6206065208007768
tas arctic surface DJF 0.8639504460966905
tas northmid surface MAM 1.2607891909044344
tas northmid surface JJA 0.6305277240610894
tas northmid surface SON 0.715892031587739
tas northmid surface DJF 1.3267230704214326
tas tropics surface MAM 1.110670927031005
tas tropics surface JJA 1.12405310373501
tas tropics surface SON 1.021791912199817
tas tropics surface DJF 1.138621555864881
tas nino34 surface MAM 2.4116772780774105
tas nino34 surface JJA 2.0545821086568377
tas nino34 surface SON 2.1466290101529184
tas nino34 surface DJF 2.175216461853679
tas southmid surface MAM 0.6204868088116998
tas southmid surface JJA 1.0845203422757297
tas southmid surface SON 1.1498013023966716
tas southmid surface DJF 0.6805529142385883
tas antarctic surface MAM 0.8578641449199369
tas antarctic surface JJA 0.9278451847542306
tas antarctic surface SON 0.5931180394021193
tas antarctic surface DJF 0.3672158222359791
clt arctic surface MAM 1.1523911384436356
clt arctic surface JJA 1.268442415811995
clt arctic surface SON 1.216993057857238
clt arctic surface DJF 0.9986237034531145
clt northmid surface MAM 0.9354881346204188
clt northmid surface JJA 0.7966564719737966
clt northmid surface SON 0.7407729927778449
clt northmid surface DJF 0.771615858233887
clt tropics surface MAM 0.8789502061588682
clt tropics surface JJA 0.8185294267296527
clt tropics surface SON 0.7446172674604878
clt tropics surface DJF 0.7436564070619115
clt nino34 surface MAM 0.6611088771783773
clt nino34 surface JJA 0.6343807007983853
clt nino34 surface SON 0.8021012355486236
clt nino34 surface DJF 0.5738757580561957
clt southmid surface MAM 0.5785482330530699
clt southmid surface JJA 0.6546373793322462
clt southmid surface SON 0.5922261552021074
clt southmid surface DJF 0.5493083330587742
clt antarctic surface MAM 1.0502951478851998
clt antarctic surface JJA 0.987424426899669
clt antarctic surface SON 0.7819413503772974
