Variable Region Level Season AbsMeanError
siconc arctic surface MAM 7.170730575899684
siconc arctic surface JJA 8.658463214390338
siconc arctic surface SON 11.058117843693234
siconc arctic surface DJF 7.706078921237903
siconc northmid surface MAM 16.63349224804005
siconc northmid surface JJA 8.338495097276661
siconc northmid surface SON 5.319898848436115
siconc northmid surface DJF 15.960549778231213
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 4.552485527580232
siconc southmid surface JJA 7.1052228740285095
siconc southmid surface SON 11.265979450285206
siconc southmid surface DJF 3.8157106858456085
siconc antarctic surface MAM 18.165265153844558
siconc antarctic surface JJA 7.542545368933947
siconc antarctic surface SON 9.43024465404292
siconc antarctic surface DJF 11.630411204105217
tas arctic surface MAM 2.739636110130172
tas arctic surface JJA 1.0982416614592614
tas arctic surface SON 1.7139852301183587
tas arctic surface DJF 3.554424836934784
tas northmid surface MAM 2.179620377024207
tas northmid surface JJA 1.3493981233421866
tas northmid surface SON 1.143294774425202
tas northmid surface DJF 2.2700635905005666
tas tropics surface MAM 1.0774716997520484
tas tropics surface JJA 1.107321998956529
tas tropics surface SON 0.9919062138672018
tas tropics surface DJF 1.1504865993780962
tas nino34 surface MAM 1.5394474476751487
tas nino34 surface JJA 1.088267387488426
tas nino34 surface SON 1.3672974958436181
tas nino34 surface DJF 1.4066885208420012
tas southmid surface MAM 0.7067110893528895
tas southmid surface JJA 1.1126016684687754
tas southmid surface SON 1.1093482630164786
tas southmid surface DJF 0.7673439431708711
tas antarctic surface MAM 2.3740965482604386
tas antarctic surface JJA 2.904716837430269
tas antarctic surface SON 1.671161683224458
tas antarctic surface DJF 1.0132868625775964
clt arctic surface MAM 19.331127
clt arctic surface JJA 14.063974
clt arctic surface SON 17.265802
clt arctic surface DJF 18.274881
clt northmid surface MAM 6.827576
clt northmid surface JJA 6.045067
clt northmid surface SON 5.100394
clt northmid surface DJF 7.8242617
clt tropics surface MAM 9.999477
clt tropics surface JJA 9.932907
clt tropics surface SON 8.082503
clt tropics surface DJF 8.842218
clt nino34 surface MAM 10.181242
clt nino34 surface JJA 7.432221
clt nino34 surface SON 9.682741
clt nino34 surface DJF 7.0546193
clt southmid surface MAM 5.785053
clt southmid surface JJA 6.316464
clt southmid surface SON 5.862446
clt southmid surface DJF 4.9465885
clt antarctic surface MAM 26.917261
clt antarctic surface JJA 25.586258
clt antarctic surface SON 16.504988
clt antarctic surface DJF 12.591044
pr arctic surface MAM 2.4249794e-06
pr arctic surface JJA 2.864125e-06
pr arctic surface SON 3.5153146e-06
pr arctic surface DJF 3.2007215e-06
pr northmid surface MAM 5.466047e-06
pr northmid surface JJA 8.319726e-06
pr northmid surface SON 6.551722e-06
pr northmid surface DJF 7.53639e-06
pr tropics surface MAM 1.799088e-05
pr tropics surface JJA 1.4703683e-05
pr tropics surface SON 1.2248824e-05
pr tropics surface DJF 1.4411066e-05
pr nino34 surface MAM 3.097979e-05
pr nino34 surface JJA 1.4210531e-05
pr nino34 surface SON 1.036873e-05
pr nino34 surface DJF 1.8821347e-05
pr southmid surface MAM 8.499124e-06
pr southmid surface JJA 5.9548884e-06
pr southmid surface SON 6.5810523e-06
pr southmid surface DJF 6.8869417e-06
pr antarctic surface MAM 2.8260333e-06
pr antarctic surface JJA 4.1163685e-06
pr antarctic surface SON 3.5405938e-06
pr antarctic surface DJF 2.7432516e-06
rlut arctic surface MAM 7.4288783
rlut arctic surface JJA 10.107895
rlut arctic surface SON 5.451777
rlut arctic surface DJF 7.1330013
rlut northmid surface MAM 8.2664795
rlut northmid surface JJA 6.70982
rlut northmid surface SON 5.7518625
rlut northmid surface DJF 6.5859313
rlut tropics surface MAM 13.899854
rlut tropics surface JJA 10.535189
rlut tropics surface SON 8.96153
rlut tropics surface DJF 10.774889
