Variable Region Level Season FracMeanError
siconc arctic surface MAM 1.1853269168683298
siconc arctic surface JJA 0.659301240706207
siconc arctic surface SON 0.7636047479458066
siconc arctic surface DJF 1.0831540350044109
siconc northmid surface MAM 1.1681955585158388
siconc northmid surface JJA 1.0812295211558116
siconc northmid surface SON 1.053544343954916
siconc northmid surface DJF 1.1457768341415577
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 0.9108204881786879
siconc southmid surface JJA 0.6020819835896581
siconc southmid surface SON 0.7210620289507356
siconc southmid surface DJF 0.6772470195340202
siconc antarctic surface MAM 0.7310050196036444
siconc antarctic surface JJA 0.40719715044533467
siconc antarctic surface SON 0.5532166864916381
siconc antarctic surface DJF 0.570226543953524
tas arctic surface MAM 0.9300868325681905
tas arctic surface JJA 0.584534379455673
tas arctic surface SON 0.5626641129135661
tas arctic surface DJF 0.8187288639710296
tas northmid surface MAM 1.1521237298191824
tas northmid surface JJA 0.6682642439130443
tas northmid surface SON 0.7070073380799146
tas northmid surface DJF 1.147427865821647
tas tropics surface MAM 0.9801405664968981
tas tropics surface JJA 1.0088615567357164
tas tropics surface SON 0.9200857770593
tas tropics surface DJF 1.021742392630845
tas nino34 surface MAM 2.207566443566699
tas nino34 surface JJA 1.736150550015102
tas nino34 surface SON 1.9520176840014827
tas nino34 surface DJF 1.859176932499349
tas southmid surface MAM 0.5745589668243994
tas southmid surface JJA 0.9741974037067904
tas southmid surface SON 1.0330693335811587
tas southmid surface DJF 0.6160840235869334
tas antarctic surface MAM 0.7236776807147656
tas antarctic surface JJA 0.7653191767244611
tas antarctic surface SON 0.5498062506685069
tas antarctic surface DJF 0.3343889005888827
clt arctic surface MAM 1.1472628507098304
clt arctic surface JJA 1.2691378658396715
clt arctic surface SON 1.2224263019160697
clt arctic surface DJF 0.9983743521568018
clt northmid surface MAM 0.877697913273582
clt northmid surface JJA 0.7799341889788662
clt northmid surface SON 0.7049332594393078
clt northmid surface DJF 0.7763655101394931
clt tropics surface MAM 0.8800540914604614
clt tropics surface JJA 0.8121040368300869
clt tropics surface SON 0.7386070513573502
clt tropics surface DJF 0.7484362991401047
clt nino34 surface MAM 0.6904800360365387
clt nino34 surface JJA 0.6121465776705077
clt nino34 surface SON 0.7519262136027629
clt nino34 surface DJF 0.5602292060403353
clt southmid surface MAM 0.5980562744654582
clt southmid surface JJA 0.6902608424410837
clt southmid surface SON 0.6263890169445578
clt southmid surface DJF 0.5644372399772173
clt antarctic surface MAM 1.0368872619754672
clt antarctic surface JJA 0.962155117486088
clt antarctic surface SON 0.7899265455705422
clt antarctic surface DJF 0.6730952850612391
pr arctic surface MAM 0.7654048348123359
pr arctic surface JJA 0.7293783386929231
pr arctic surface SON 0.9634825566801745
pr arctic surface DJF 0.9196171937418518
pr northmid surface MAM 0.9101719628163063
pr northmid surface JJA 1.1408635905947713
pr northmid surface SON 1.1200616617449952
pr northmid surface DJF 1.0797812922675993
pr tropics surface MAM 1.1140266211649794
pr tropics surface JJA 0.9221974137180241
pr tropics surface SON 0.8500569383220373
pr tropics surface DJF 0.9220538377091269
pr nino34 surface MAM 1.6083111268946646
pr nino34 surface JJA 0.9525044554477876
pr nino34 surface SON 1.2360278578625028
pr nino34 surface DJF 1.3934789035627904
pr southmid surface MAM 1.5685852134361353
pr southmid surface JJA 0.8017934016417242
pr southmid surface SON 1.2392855240658367
pr southmid surface DJF 1.5210905576169267
pr antarctic surface MAM 0.7446650543567667
pr antarctic surface JJA 0.8520250817357372
pr antarctic surface SON 0.955259997617289
pr antarctic surface DJF 1.1233450723820289
rlut arctic surface MAM 1.333620191856485
rlut arctic surface JJA 1.7807653833856265
rlut arctic surface SON 1.093231875183779
rlut arctic surface DJF 0.9860560817780241
rlut northmid surface MAM 1.4388486012315782
rlut northmid surface JJA 0.9345445987295502
rlut northmid surface SON 1.069233931377891
rlut northmid surface DJF 1.2520127728909343
rlut tropics surface MAM 1.2462348732026765
rlut tropics surface JJA 1.0175532720721236
rlut tropics surface SON 0.9496515897878371
rlut tropics surface DJF 1.0494728533944453
rlut nino34 surface MAM 1.4813468034171968
rlut nino34 surface JJA 0.5885540312699227
rlut nino34 surface SON 0.6321963282386909
rlut nino34 surface DJF 0.9994786415755007
rlut southmid surface MAM 1.546645777084904
rlut southmid surface JJA 1.4618816711137825
rlut southmid surface SON 1.5932633932907605
rlut southmid surface DJF 1.253499358769867
rlut antarctic surface MAM 1.2097747252338278
rlut antarctic surface JJA 0.7960801135116674
rlut antarctic surface SON 0.8563042904882618
rlut antarctic surface DJF 1.2256022825615647
uas arctic surface MAM 0.8140733672366152
uas arctic surface JJA 1.1244312577849438
uas arctic surface SON 0.7033415236038977
uas arctic surface DJF 0.7872089375178947
uas northmid surface MAM 0.7944283962010839
uas northmid surface JJA 0.8141841209618697
uas northmid surface SON 0.49435906114569317
uas northmid surface DJF 0.6333084065128897
uas tropics surface MAM 1.1691582961645528
uas tropics surface JJA 0.8331113094273976
uas tropics surface SON 0.8617828165167437
