Variable Region Level Season AbsMeanError
siconc arctic surface MAM 7.226242993308406
siconc arctic surface JJA 9.745045479917625
siconc arctic surface SON 13.29645017229603
siconc arctic surface DJF 7.849070684704571
siconc northmid surface MAM 15.416769880014112
siconc northmid surface JJA 7.481829699440037
siconc northmid surface SON 5.379652367525712
siconc northmid surface DJF 14.990621169404465
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 4.745891892833262
siconc southmid surface JJA 7.598856058087256
siconc southmid surface SON 10.802631490390784
siconc southmid surface DJF 4.51974170010877
siconc antarctic surface MAM 20.773982111110154
siconc antarctic surface JJA 8.54063715503457
siconc antarctic surface SON 9.302535866285739
siconc antarctic surface DJF 12.905280822426464
tas arctic surface MAM 2.434805735742407
tas arctic surface JJA 1.0784434051979017
tas arctic surface SON 1.9332932872880515
tas arctic surface DJF 3.022407031256674
tas northmid surface MAM 1.987498515434012
tas northmid surface JJA 1.433491340789971
tas northmid surface SON 1.1628330089408467
tas northmid surface DJF 2.1638657059703137
tas tropics surface MAM 0.9967895716294999
tas tropics surface JJA 1.030959454082638
tas tropics surface SON 0.9213399092910247
tas tropics surface DJF 1.0448152652550096
tas nino34 surface MAM 1.4010693043646019
tas nino34 surface JJA 1.0041212693243637
tas nino34 surface SON 1.2283334150330711
tas nino34 surface DJF 1.2363775467209075
tas southmid surface MAM 0.6423671386309346
tas southmid surface JJA 0.9541667156577851
tas southmid surface SON 0.9568650595561696
tas southmid surface DJF 0.6486087034525798
tas antarctic surface MAM 2.3109125725865374
tas antarctic surface JJA 2.833834621455326
tas antarctic surface SON 1.6249893643023103
tas antarctic surface DJF 0.9424725245151698
clt arctic surface MAM 19.456898
clt arctic surface JJA 14.107322
clt arctic surface SON 17.362432
clt arctic surface DJF 18.02593
clt northmid surface MAM 6.721572
clt northmid surface JJA 6.025421
clt northmid surface SON 5.198631
clt northmid surface DJF 8.101682
clt tropics surface MAM 10.077431
clt tropics surface JJA 9.971188
clt tropics surface SON 8.046435
clt tropics surface DJF 8.880365
clt nino34 surface MAM 10.490757
clt nino34 surface JJA 7.8527827
clt nino34 surface SON 9.578112
clt nino34 surface DJF 7.028827
clt southmid surface MAM 5.883707
clt southmid surface JJA 6.606351
clt southmid surface SON 5.918894
clt southmid surface DJF 4.9345174
clt antarctic surface MAM 27.020498
clt antarctic surface JJA 25.69486
clt antarctic surface SON 16.777102
clt antarctic surface DJF 12.984755
pr arctic surface MAM 2.473936e-06
pr arctic surface JJA 3.0760712e-06
pr arctic surface SON 3.4890577e-06
pr arctic surface DJF 3.2861178e-06
pr northmid surface MAM 5.49685e-06
pr northmid surface JJA 8.281579e-06
pr northmid surface SON 6.5183817e-06
pr northmid surface DJF 7.428547e-06
pr tropics surface MAM 1.7948043e-05
pr tropics surface JJA 1.4775238e-05
pr tropics surface SON 1.2252031e-05
pr tropics surface DJF 1.4654286e-05
pr nino34 surface MAM 3.0525916e-05
pr nino34 surface JJA 1.4108938e-05
pr nino34 surface SON 1.0346872e-05
pr nino34 surface DJF 1.8534138e-05
pr southmid surface MAM 8.338277e-06
pr southmid surface JJA 5.8651563e-06
pr southmid surface SON 6.533624e-06
pr southmid surface DJF 6.7858246e-06
pr antarctic surface MAM 2.8708007e-06
pr antarctic surface JJA 4.2017705e-06
pr antarctic surface SON 3.6034342e-06
pr antarctic surface DJF 2.6201303e-06
rlut arctic surface MAM 6.9686956
rlut arctic surface JJA 9.605588
rlut arctic surface SON 4.828474
rlut arctic surface DJF 6.4244003
rlut northmid surface MAM 7.8047585
rlut northmid surface JJA 6.2529826
rlut northmid surface SON 5.3516555
rlut northmid surface DJF 6.336431
rlut tropics surface MAM 13.940088
rlut tropics surface JJA 10.6199
rlut tropics surface SON 8.89224
rlut tropics surface DJF 10.84457
rlut nino34 surface MAM 19.446898
rlut nino34 surface JJA 6.7918234
rlut nino34 surface SON 5.7718134
rlut nino34 surface DJF 10.445982
rlut southmid surface MAM 5.5861554
rlut southmid surface JJA 7.9426336
rlut southmid surface SON 6.5033126
rlut southmid surface DJF 4.3300834
rlut antarctic surface MAM 4.4468083
rlut antarctic surface JJA 3.8835626
rlut antarctic surface SON 3.597244
rlut antarctic surface DJF 4.972473
uas arctic surface MAM 0.46260433577657173
uas arctic surface JJA 0.6065779436868842
uas arctic surface SON 0.4344586797484259
uas arctic surface DJF 0.6872569044234766
uas northmid surface MAM 0.6367231404903484
uas northmid surface JJA 0.5276568479453785
uas northmid surface SON 0.36712404808483856
uas northmid surface DJF 0.6942629190970137
uas tropics surface MAM 1.0621775278069137
uas tropics surface JJA 0.7870131877212923
uas tropics surface SON 0.7484899568294088
uas tropics surface DJF 0.9587387205229804
uas nino34 surface MAM 1.0241284475970116
uas nino34 surface JJA 0.5890098642687829
uas nino34 surface SON 0.5689773833947108
uas nino34 surface DJF 0.7915638724568133
uas southmid surface MAM 1.0461055531678218
uas southmid surface JJA 1.084035194460606
uas southmid surface SON 0.9870090443061493
uas southmid surface DJF 0.6537396536955488
uas antarctic surface MAM 1.1060338046723586
uas antarctic surface JJA 1.031724123795122
uas antarctic surface SON 1.0714115159681448
uas antarctic surface DJF 0.9231644693659148
vas arctic surface MAM 0.4495129767264489
vas arctic surface JJA 0.39324077480490305
vas arctic surface SON 0.5273269233990923
vas arctic surface DJF 0.6850342151591781
vas northmid surface MAM 0.42524059645120504
vas northmid surface JJA 0.45660897903605296
vas northmid surface SON 0.3173287350735479
vas northmid surface DJF 0.5227981570752759
vas tropics surface MAM 0.7591088915534503
vas tropics surface JJA 0.6316820278502339
vas tropics surface SON 0.5595033925363972
vas tropics surface DJF 0.7195409554106094
vas nino34 surface MAM 1.508559747091994
