Variable Region Level Season FracMeanError
siconc arctic surface MAM 1.194503159355551
siconc arctic surface JJA 0.7420393684839947
siconc arctic surface SON 0.9181700381481077
siconc arctic surface DJF 1.1032527268494248
siconc northmid surface MAM 1.0827432887772181
siconc northmid surface JJA 0.9701480961399045
siconc northmid surface SON 1.0653778362565136
siconc northmid surface DJF 1.0761475452883265
siconc tropics surface MAM nan
siconc tropics surface JJA nan
siconc tropics surface SON nan
siconc tropics surface DJF nan
siconc nino34 surface MAM nan
siconc nino34 surface JJA nan
siconc nino34 surface SON nan
siconc nino34 surface DJF nan
siconc southmid surface MAM 0.9495154997167615
siconc southmid surface JJA 0.6439114450848271
siconc southmid surface SON 0.6914061413693678
siconc southmid surface DJF 0.8022048439932857
siconc antarctic surface MAM 0.8359847803908244
siconc antarctic surface JJA 0.46108083444106135
siconc antarctic surface SON 0.5457247671416346
siconc antarctic surface DJF 0.6327320292445406
tas arctic surface MAM 0.8265991042759024
tas arctic surface JJA 0.5739968430971804
tas arctic surface SON 0.6346581833838594
tas arctic surface DJF 0.6961834864097961
tas northmid surface MAM 1.0505701941262824
tas northmid surface JJA 0.7099098408676121
tas northmid surface SON 0.7190896771972537
tas northmid surface DJF 1.093749011840974
tas tropics surface MAM 0.9067466882331737
tas tropics surface JJA 0.9392889879884397
tas tropics surface SON 0.8546289301593897
tas tropics surface DJF 0.9278961176566044
tas nino34 surface MAM 2.009132293601556
tas nino34 surface JJA 1.601909341455752
tas nino34 surface SON 1.753626080120257
tas nino34 surface DJF 1.6340821586769956
tas southmid surface MAM 0.5222470752959135
tas southmid surface JJA 0.8354712773139589
tas southmid surface SON 0.8910708948287274
tas southmid surface DJF 0.5207540416691445
tas antarctic surface MAM 0.7044177929871452
tas antarctic surface JJA 0.7466435115183682
tas antarctic surface SON 0.5346157219446341
tas antarctic surface DJF 0.3110198729964511
clt arctic surface MAM 1.1547270766759066
clt arctic surface JJA 1.2730495463381226
clt arctic surface SON 1.2292677546801134
clt arctic surface DJF 0.9847739217776488
clt northmid surface MAM 0.8640708666588709
clt northmid surface JJA 0.7773995030216931
clt northmid surface SON 0.7185107513445157
clt northmid surface DJF 0.8038926255597885
clt tropics surface MAM 0.8869147654683859
clt tropics surface JJA 0.8152338091864227
clt tropics surface SON 0.7353110364362222
clt tropics surface DJF 0.7516651923600818
clt nino34 surface MAM 0.7114709847008044
clt nino34 surface JJA 0.6467856798925778
clt nino34 surface SON 0.7438010685733397
clt nino34 surface DJF 0.5581809736230594
clt southmid surface MAM 0.6082551105971846
clt southmid surface JJA 0.7219395812081776
clt southmid surface SON 0.6324203556493623
clt southmid surface DJF 0.5630598468951776
clt antarctic surface MAM 1.0408640888704082
clt antarctic surface JJA 0.9662390470046933
clt antarctic surface SON 0.8029498763214935
clt antarctic surface DJF 0.6941423425995574
pr arctic surface MAM 0.7808572228847255
pr arctic surface JJA 0.7833525633149939
pr arctic surface SON 0.9562860313529251
pr arctic surface DJF 0.9441528888869967
pr northmid surface MAM 0.9153011227909358
pr northmid surface JJA 1.1356325946509764
pr northmid surface SON 1.1143619169270762
pr northmid surface DJF 1.064330032060527
pr tropics surface MAM 1.1113740671438461
pr tropics surface JJA 0.9266852832760573
pr tropics surface SON 0.8502795558052484
pr tropics surface DJF 0.9376156113034627
pr nino34 surface MAM 1.5847483148294368
pr nino34 surface JJA 0.9456948535658577
pr nino34 surface SON 1.2334222391713154
pr nino34 surface DJF 1.3722147431129228
pr southmid surface MAM 1.538899564970031
pr southmid surface JJA 0.7897114597957872
pr southmid surface SON 1.230354240742662
pr southmid surface DJF 1.4987572240436076
pr antarctic surface MAM 0.7564613413616574
pr antarctic surface JJA 0.8697019861926636
pr antarctic surface SON 0.9722144759118485
pr antarctic surface DJF 1.0729276571325506
rlut arctic surface MAM 1.2510089454518045
rlut arctic surface JJA 1.6922711107003494
rlut arctic surface SON 0.9682424193665254
rlut arctic surface DJF 0.8881000753964599
rlut northmid surface MAM 1.3584822815338697
rlut northmid surface JJA 0.8709162555475924
rlut northmid surface SON 0.994838038274553
rlut northmid surface DJF 1.2045817390052804
rlut tropics surface MAM 1.249842229077509
rlut tropics surface JJA 1.0257351883180326
rlut tropics surface SON 0.9423089246797476
rlut tropics surface DJF 1.0562597904890072
rlut nino34 surface MAM 1.4727138462902272
rlut nino34 surface JJA 0.6273120771127052
rlut nino34 surface SON 0.6701754096644938
rlut nino34 surface DJF 0.9864229136079187
rlut southmid surface MAM 1.3591463819565923
rlut southmid surface JJA 1.3576216042996132
rlut southmid surface SON 1.472720557477229
rlut southmid surface DJF 1.1009086696070933
rlut antarctic surface MAM 1.1071857603383601
rlut antarctic surface JJA 0.8114503446451091
rlut antarctic surface SON 0.8143832362297977
rlut antarctic surface DJF 1.156766982387044
uas arctic surface MAM 0.7184991797218776
uas arctic surface JJA 0.983319537860758
uas arctic surface SON 0.6890024027315642
uas arctic surface DJF 0.8456752186626062
uas northmid surface MAM 0.7954619449082145
uas northmid surface JJA 0.7908054680314709
